run_date,currency,position_type,policy_rate_proxy_pct,usd_policy_rate_proxy_pct,estimated_carry_vs_usd_pct,current_weight_pct,market_value_usd,estimated_annual_carry_usd,estimated_weekly_carry_usd,estimated_daily_carry_usd,spot_unrealized_pnl_usd,carry_to_abs_spot_pnl_ratio,action_label,carry_status,source
2026-05-05,USD,cash,3.625,3.625,0.0,24.03,24165.26,875.99,16.85,2.4,0.0,,Reduce,cash_yield_proxy,manual_policy_rate_proxy
2026-05-05,CHF,fx_sleeve,0.0,3.625,-3.625,11.97,12035.0,-436.27,-8.39,-1.2,70.52,-6.19,Hold / stage,negative_carry,manual_policy_rate_proxy
2026-05-05,JPY,fx_sleeve,0.5,3.625,-3.125,5.08,5103.28,-159.48,-3.07,-0.44,51.99,-3.07,Reduce,negative_carry,manual_policy_rate_proxy
2026-05-05,CAD,fx_sleeve,2.25,3.625,-1.375,11.05,11105.86,-152.71,-2.94,-0.42,129.17,-1.18,Hold / stage,negative_carry,manual_policy_rate_proxy
2026-05-05,MXN,fx_sleeve,6.75,3.625,3.125,11.88,11940.98,373.16,7.18,1.02,56.33,6.62,Buy,positive_carry,manual_policy_rate_proxy
2026-05-05,AUD,fx_sleeve,4.1,3.625,0.475,13.03,13099.59,62.22,1.2,0.17,223.15,0.28,Buy,positive_carry,manual_policy_rate_proxy
2026-05-05,GBP,fx_sleeve,3.75,3.625,0.125,7.02,7059.26,8.82,0.17,0.02,55.84,0.16,Hold / stage,positive_carry,manual_policy_rate_proxy
2026-05-05,EUR,fx_sleeve,2.0,3.625,-1.625,10.96,11023.38,-179.13,-3.44,-0.49,-2.1,-85.3,Build on weakness,negative_carry,manual_policy_rate_proxy
2026-05-05,NZD,fx_sleeve,3.5,3.625,-0.125,4.98,5011.73,-6.26,-0.12,-0.02,-32.71,-0.19,Hold / stage,negative_carry,manual_policy_rate_proxy
